      Step     Time          Energy          fmax
FIRE:    0 12:43:49     -356.286499        0.080180
FIRE:    1 12:43:49     -356.290802        0.079633
FIRE:    2 12:43:49     -356.298859        0.078546
FIRE:    3 12:43:49     -356.310913        0.076940
FIRE:    4 12:43:49     -356.326782        0.074832
FIRE:    5 12:43:49     -356.345337        0.072262
FIRE:    6 12:43:49     -356.366211        0.069264
FIRE:    7 12:43:49     -356.389465        0.065895
FIRE:    8 12:43:49     -356.417145        0.061797
FIRE:    9 12:43:49     -356.448944        0.058434
FIRE:   10 12:43:49     -356.484589        0.055250
FIRE:   11 12:43:49     -356.523010        0.051411
FIRE:   12 12:43:49     -356.564056        0.046895
